"effect","variable","df","sum_sq","mean_sq","f_value","p_value","partial_eta_squared"
"camera_zoom","hits_rate",1,0.0209863221038756,0.0209863221038756,0.645058175632878,0.423006569823288,0.00378011635689423
"camera_zoom:camera_recoil","hits_rate",1,0.00153755733712262,0.00153755733712262,0.0472600165910968,0.828162245808173,0.000277922835019428
"Residuals","hits_rate",170,5.53077984657514,0.0325339990975008,,,
"camera_recoil","kill_rate",1,1.73896777297408,1.73896777297408,1.75651206104554,0.186838577652033,0.0102267567032407
"camera_shake","kill_rate",1,1.60073578979616,1.60073578979616,1.6168854679322,0.205263503852593,0.00942148241138154
"camera_shake:camera_recoil","kill_rate",1,4.64882653992929,4.64882653992929,4.69572812906645,0.0316293840199707,0.0268794673994387
"camera_shake:camera_zoom","kill_rate",1,5.78298286486917,5.78298286486917,5.84132685425782,0.0167117781930186,0.0332193060570982
"camera_shake:camera_zoom:camera_recoil","kill_rate",1,0.0639243659712739,0.0639243659712739,0.0645692930992032,0.799721614454444,0.000379675163190051
"camera_zoom","kill_rate",1,0.578552444494114,0.578552444494114,0.584389407610053,0.445656742919985,0.00342580824446754
"camera_zoom:camera_recoil","kill_rate",1,0.406396804594362,0.406396804594362,0.410496905080372,0.522580110954369,0.00240887100581029
"Residuals","kill_rate",170,168.30201622961,0.990011860174179,,,
"camera_recoil","xp_rate",1,106.256732756157,106.256732756157,0.649510665946531,0.421413578272742,0.00380610916147293
"camera_shake","xp_rate",1,2327.69138127411,2327.69138127411,14.2283725459434,0.000223270815040349,0.0772322544530705
"camera_shake:camera_recoil","xp_rate",1,118.73683185254,118.73683185254,0.72579719636124,0.395447433743917,0.00425124502729052
"camera_shake:camera_zoom","xp_rate",1,133.884372056562,133.884372056562,0.818388871920698,0.366931885822024,0.00479098812092371
"camera_shake:camera_zoom:camera_recoil","xp_rate",1,7.13537203734924,7.13537203734924,0.0436160619994823,0.834819592393874,0.000256499261833972
"camera_zoom","xp_rate",1,508.885117273242,508.885117273242,3.11063875988856,0.0795788034729058,0.0179690790939957
"camera_zoom:camera_recoil","xp_rate",1,38.3524315603052,38.3524315603052,0.234435152646449,0.628877731225409,0.00137713120401425
"Residuals","xp_rate",170,27811.1592551333,163.595054441961,,,
"camera_recoil","jitter_rate",1,7.18213887746099e-05,7.18213887746099e-05,0.0165128005150677,0.897908097366837,0.000100067564359633
"camera_shake","jitter_rate",1,0.00179307903938488,0.00179307903938488,0.412255415695594,0.521718008188897,0.00249229063868067
"camera_shake:camera_recoil","jitter_rate",1,0.0151275034849638,0.0151275034849638,3.47803699705826,0.0639643161682935,0.0206438599300571
"camera_shake:camera_zoom","jitter_rate",1,0.00219449148098667,0.00219449148098667,0.504546078484615,0.478512128846512,0.00304853304902786
"camera_shake:camera_zoom:camera_recoil","jitter_rate",1,0.00348565049000801,0.00348565049000801,0.80140264883179,0.371978405253723,0.00483350946390462
"camera_zoom","jitter_rate",1,0.0017719450692729,0.0017719450692729,0.407396403101927,0.524178840372402,0.00246298782255838
"camera_zoom:camera_recoil","jitter_rate",1,0.00314765627088467,0.00314765627088467,0.72369277422682,0.396168102979769,0.00436686367599074
"Residuals","jitter_rate",165,0.717657137382433,0.00434943719625717,,,
"camera_recoil","input_rate",1,0.0880225451234926,0.0880225451234926,0.0759266100628784,0.783240156018537,0.000459949622104681
"camera_shake","input_rate",1,2.24992735291932,2.24992735291932,1.94074548236752,0.165461612369526,0.0116253553125082
"camera_shake:camera_recoil","input_rate",1,10.4165409628485,10.4165409628485,8.98511447016899,0.00314280849028301,0.051643006917753
"camera_shake:camera_zoom","input_rate",1,4.96100759458204,4.96100759458204,4.27927286838105,0.0401397616767475,0.0252793670239138
"camera_shake:camera_zoom:camera_recoil","input_rate",1,0.0855073238624248,0.0855073238624248,0.0737570269902346,0.786282593644829,0.000446812554088625
"camera_zoom","input_rate",1,0.142688234530725,0.142688234530725,0.123080216875976,0.726164979893771,0.000745384695551466
"camera_zoom:camera_recoil","input_rate",1,2.72155851553189,2.72155851553189,2.34756575014037,0.127393895698354,0.01402808424262
