id,run_id,damage_source,total_damage,total_kills
494244ea-61b1-4007-b3c5-0af937b548b7,8c8dc550-93e5-4ed0-b7de-35848833931a,aura,204.0867205,39
497c7a14-e1f3-41ce-bd0e-d50406834d34,4bfb2dd5-6f1f-475f-8dfa-3073d34d9f8a,arrow,1933.08561,959
497cef61-56ea-4e21-9a00-421d1e94c009,93bad4a3-b6cc-4716-8212-ae631efe5f35,aura,55.5,5
49b7866c-9f51-4b23-8d1c-975f00203a10,91b87802-8707-470d-9d00-064479a4a5b8,death_arrows,13.776,9
49cee1bf-8c33-4d53-85db-bba8589831e1,6f344d23-060f-487f-9a19-960432103187,death_arrows,808.221000000002,244
4a0c1e9f-84c4-48c6-91ae-d3d2f6b25e64,a6d1ed5d-2cb9-4cee-ab6d-4425ab35a53d,arrow,1266.968903008,329
4a1dd9cf-1083-45bd-bebc-7e3a8b693cee,36f78638-69ff-473d-91cc-cd779e015bf1,burn,274.15902,107
4a5f78fe-614a-4417-89f5-e2c2e5339239,79cce2e0-a462-4d63-81d1-e8d2ee2a09fc,burn,180.649616,37
4b6ac7a1-3948-492b-b248-30db8ceb8012,6d6c8b0a-7f32-4120-864f-1757d438c8a5,arrow,122.608888,91
4b8a68c5-6eb8-431f-bf89-5e020694771a,54448c6e-91f8-473c-9073-92b6e431d4a0,death_arrows,373.535303645825,72
4c19d0a0-c3ea-44d9-a50a-e8dd3db9da85,0f33c073-f218-41b5-af78-ee891110b44a,burn,396.045119,152
4c3c1b14-85f0-4f3c-9fd5-8129ef9d434c,eb6ae233-5b63-4bfa-b563-5d9dab5e9da8,arrow,4966.63151999995,1300
4c6d38f8-8fad-4f50-ab97-f12e3b83bcc9,6f93e1ac-02d4-4851-9145-f230dc3f0436,burn,983.114819999999,259
4c979d57-d70a-433b-abcb-21216e8c3fef,02f1bdb0-befd-484c-bafd-e0885d364786,arrow,1216.470185,724
4cd26d56-68cf-4513-842c-1bdfcd6b301d,035e4ae5-9b01-49a1-80bb-bfd33381c569,arrow,2305.1917951875,682
