id,player_id,build_version,started_at,ended_at,duration_seconds,final_round,final_level,death_enemy,total_kills,total_damage_taken,total_xp,end_reason,dodges_used,heals_used
89ad5a3a-b615-4b5c-935b-4558b5a3b498,C6M259,1.0.0,2026-06-09 14:21:16+00,2026-06-09 14:24:12+00,182,5,27,,435,0.0,3069,win,0,0
8c8dc550-93e5-4ed0-b7de-35848833931a,C4F035,1.0.0,2026-06-05 19:23:34+00,2026-06-05 19:28:56+00,331,5,29,,435,45.0,4207,win,1,6139
8d3951ff-68f5-4229-abc8-b0e014ccf3e4,C6E975,1.0.0,2026-06-08 16:27:29+00,2026-06-08 16:34:34+00,438,5,37,,435,84.0,18391,win,7,2041
8e67c14b-098a-4790-8301-ab832419230f,C6E631,1.0.0,2026-06-08 16:18:18+00,2026-06-08 16:24:59+00,412,5,30,,435,33.0,5720,win,11,5570
91b87802-8707-470d-9d00-064479a4a5b8,C6P919,1.0.0,2026-06-11 13:18:41+00,2026-06-11 13:28:20+00,599,4,22,enemy,184,104.470669050001,1192,death,1,7481
92d8e45d-01ab-4c73-a57a-7ca89a92dea1,C6E333,1.0.0,2026-06-05 15:14:14+00,2026-06-05 15:20:45+00,434,5,28,,435,19.0,3940,win,0,1934
93bad4a3-b6cc-4716-8212-ae631efe5f35,C6N594,1.0.0,2026-06-09 13:18:36+00,2026-06-09 13:22:59+00,287,5,28,,435,30.0,3949,win,10,2648
9587088e-2b70-400c-959b-ed89dcdcc02a,C6M619,1.0.0,2026-06-09 14:31:05+00,2026-06-09 14:35:55+00,297,5,30,,435,116.0,5126,win,0,499
989215b9-2bdf-4c15-a089-a53d4e201445,765601,1.0.0,2026-06-04 19:45:13+00,2026-06-04 19:47:14+00,129,3,16,enemy,149,55.7499999999967,364,death,1,1399
996ab3fb-c28a-4951-a2af-8850a2aaf382,C6K949,1.0.0,2026-06-08 16:11:51+00,2026-06-08 16:15:20+00,220,3,19,enemy,191,80.4599999999999,704,death,13,172
9ab3cb58-4328-49e5-83a8-a1dbb1e96fa3,C27336,1.0.0,2026-06-08 16:24:35+00,2026-06-08 16:29:57+00,326,5,23,zombie,409,72.5262044305918,1455,death,5,6184
9cd9cb7a-588c-4e2b-be05-e8bb79f9757f,C6M259,1.0.0,2026-06-09 13:23:32+00,2026-06-09 13:26:39+00,197,5,28,,435,19.0,3770,win,2,1317
9d8bbd50-38f6-4adb-b6bd-75316bcbdefc,C6D710,1.0.0,2026-06-05 19:24:45+00,2026-06-05 19:28:37+00,267,4,20,enemy,303,118.53665,912,death,0,2428
9e43f054-b7f0-4a0e-ab92-f14b62b69f0f,C6E077,1.0.0,2026-06-05 15:19:51+00,2026-06-05 15:25:21+00,340,5,31,,435,86.0,6995,win,19,7569
9face13f-c901-4cc0-9f9a-dd9efc6d4887,C5J364,1.0.0,2026-06-04 19:14:14+00,2026-06-04 19:23:57+00,599,5,28,enemy,434,290.995302300015,3570,death,0,25747
a0bf9a3f-dcc7-48b9-953c-ec94412c791d,C6M649,1.0.0,2026-06-08 16:18:56+00,2026-06-08 16:28:40+00,599,5,36,enemy,434,189.0,15524,death,52,10559
a237dbf8-beeb-4a59-ab92-d49219739e0e,C6K949,1.0.0,2026-06-08 16:15:31+00,2026-06-08 16:21:39+00,379,5,32,enemy,434,172.0,7800,death,32,8215
a39e7406-c615-43bd-8fd2-7e790ad63876,C6E934,1.0.0,2026-06-09 13:26:58+00,2026-06-09 13:31:47+00,297,1,1,enemy,0,50.0,0,death,0,0
a6d1ed5d-2cb9-4cee-ab6d-4425ab35a53d,C6M259,1.0.0,2026-06-09 14:36:51+00,2026-06-09 14:40:36+00,241,5,29,,435,40.0,4817,win,1,0
a87a8604-d3a5-44e7-935f-4c2dc8365229,C6P592,1.0.0,2026-06-04 19:06:45+00,2026-06-04 19:11:13+00,277,5,30,,435,29.0,5092,win,3,178
a8d1c687-19dd-45e2-9790-065afb18364c,C6J969,1.0.0,2026-06-05 15:15:38+00,2026-06-05 15:20:08+00,287,5,29,,435,23.0,4888,win,4,2499
aa655d65-e325-4f24-aa9d-7f7fc515f2aa,C6M259,1.0.0,2026-06-09 14:33:54+00,2026-06-09 14:36:05+00,136,4,21,enemy,233,100.0,1050,death,1,1
af37841a-5da4-4b27-b085-5b56eaba9bf3,C6J480,1.0.0,2026-06-08 16:22:09+00,2026-06-08 16:31:53+00,599,5,33,enemy,434,275.491381400001,9811,death,22,19524
afaa0155-d8f3-4a19-a679-8ef47249787c,C6E934,1.0.0,2026-06-09 13:22:04+00,2026-06-09 13:26:50+00,302,5,26,,435,13.0,2802,win,7,2261
b1420e15-afa5-4ddf-add1-b8a2145496f0,C6P853,1.0.0,2026-06-15 19:17:27+00,2026-06-15 19:23:43+00,388,5,33,,435,24.0,8834,win,0,754
b2ea2a8d-0698-437a-ab5a-fe0d53f8e384,C6P414,1.0.0,2026-06-15 19:18:08+00,2026-06-15 19:22:33+00,291,5,29,,435,13.0,4098,win,2,291
b329c955-b2ea-4ee5-a9a9-c23be8ef1b97,C6H626,1.0.0,2026-06-05 19:26:42+00,2026-06-05 19:36:27+00,599,5,34,enemy,434,132.0,12220,death,7,6866
b6337ca6-0416-46b6-a9ed-a78d8ea4fa08,C6F428,1.0.0,2026-06-05 15:41:02+00,2026-06-05 15:45:33+00,285,5,27,,435,8.0,3111,win,0,1511
b7927167-a7db-4e53-8ca9-c44109513a9c,C6J781,1.0.0,2026-06-05 19:23:38+00,2026-06-05 19:33:21+00,599,5,34,enemy,434,402.83995266666,11530,death,16,15408
b7c48a10-1c42-43c1-bc58-ece266868745,C6H217,1.0.0,2026-06-08 16:18:07+00,2026-06-08 16:25:50+00,472,5,35,,435,102.0,12812,win,41,5842
bb33ae0e-0e76-43dc-8d46-8bc833341d89,C6K735,1.0.0,2026-06-05 15:24:56+00,2026-06-05 15:34:18+00,599,5,28,enemy,434,139.7899626,3629,death,13,8889
bd4d300a-53d4-4b24-ad46-64d19ab0e84c,C6F681,1.0.0,2026-06-11 13:16:21+00,2026-06-11 13:21:40+00,331,5,29,,435,53.0,4749,win,5,4416
bd702323-3ac9-41e4-a523-36ce1e6ee464,C6D796,1.0.0,2026-06-08 16:26:00+00,2026-06-08 16:29:48+00,232,5,32,,435,13.0,7404,win,0,301
bd717d47-60ae-4fdb-a0cb-1c515c1c3f27,C6K956,1.0.0,2026-06-05 15:29:34+00,2026-06-05 15:35:39+00,388,5,31,,435,91.0,6972,win,38,3899
c09f675b-ea6f-4ecb-b9c4-1306f3f6147b,C5F137,1.0.0,2026-06-04 19:20:43+00,2026-06-04 19:20:47+00,11,1,1,enemy,0,50.0,0,death,0,0
c0b27c1d-f162-4bed-b589-a570b263d23a,C6E077,1.0.0,2026-06-05 15:25:31+00,2026-06-05 15:29:40+00,259,1,1,enemy,0,50.0,0,death,0,0
c26f96e0-4ce9-4a54-9f0d-d845d54f3f5e,C6Q124,1.0.0,2026-06-15 19:31:33+00,2026-06-15 19:37:09+00,347,5,30,,435,67.0,5226,win,19,1259
c2df6f2d-07f9-4a83-8136-fc23784b3bfd,C6M259,1.0.0,2026-06-09 14:10:20+00,2026-06-09 14:14:15+00,243,5,34,,435,81.0,10770,win,1,5132
c3d2f2ab-c4ef-4536-8eb3-12b6f72ca721,C6P847,1.0.0,2026-06-11 13:31:31+00,2026-06-11 13:37:12+00,351,5,36,,435,99.0,15309,win,0,1026
c404059c-5b59-4023-bfac-f91f73293f12,C6E291,1.0.0,2026-06-15 19:12:40+00,2026-06-15 19:16:36+00,246,5,24,,435,19.0,1919,win,0,192
c7d829b3-6e9d-42f4-919a-afa4d26ee4ae,765601,1.0.0,2026-06-04 19:32:23+00,2026-06-04 19:34:21+00,121,2,7,enemy,44,50.0,57,death,0,0
c898d806-a716-4325-b001-6d08c47b92e2,C6E291,1.0.0,2026-06-15 19:16:42+00,2026-06-15 19:22:30+00,353,2,10,enemy,55,50.0,104,death,0,0
cacce394-6c33-4073-8334-66ead8905bb1,C6J565,1.0.0,2026-06-05 15:28:49+00,2026-06-05 15:35:49+00,435,5,27,,435,76.0,3176,win,3,8811
caf16c51-3c9d-4af3-a29b-57ac07f87506,C6M464,1.0.0,2026-06-08 16:12:57+00,2026-06-08 16:20:42+00,488,5,35,,435,95.0,12433,win,1,4963
cb18e119-fdba-44bd-a39a-414a3a2c7da2,C6K050,1.0.0,2026-06-15 19:22:15+00,2026-06-15 19:22:37+00,27,1,1,enemy,0,50.0,0,death,0,0
cdbfd31a-d1d8-4d85-b7bb-66bc9e15cd42,C23644,1.0.0,2026-06-08 16:26:48+00,2026-06-08 16:29:45+00,188,1,1,enemy,0,50.0,0,death,0,0
ceab0b07-b184-4685-b87a-c7114da64c24,C6J976,1.0.0,2026-06-09 13:24:44+00,2026-06-09 13:32:37+00,490,5,34,,435,54.0,10837,win,17,7877
cebb591f-f29d-4a40-a655-6e05d5f87ad2,C6N099,1.0.0,2026-06-15 19:14:43+00,2026-06-15 19:22:05+00,451,5,32,,435,215.0,7509,win,130,17840
