id,run_id,game_time_seconds,round,enemy_type,damage_type,damage_amount,hp_before_hit,hp_after_hit
01d2b916-b924-451c-ac32-581c1b1e4314,7f9a2bfb-e0f8-4dd3-9aad-991db4caf9bf,249,5,king,arrow,1.0,111.5,110.5
01d2ba91-164c-4217-ae70-c2f624ceaa4a,7546a5ef-7cb3-4608-8e5e-89703199492a,172,5,archer,arrow,1.0,32.7368163333332,31.7368163333332
01d2fa54-f020-4966-aa18-a9615c5c31b6,c3d2f2ab-c4ef-4536-8eb3-12b6f72ca721,91,4,archer,arrow,1.0,67.0,66.0
01d54de8-4fb5-4485-b495-44089a918264,cf52f8cf-aaac-444a-9853-d4fbc5494dd9,25,1,archer,arrow,1.0,34.0,33.0
01d9075c-b4d4-457b-93de-b2a0220d7aa0,4c3ee856-dc8a-44b9-af4c-599ed8f7cff0,362,5,king,arrow,1.0,133.2751115,132.2751115
01d9ef27-0f54-4739-b8b1-dd23906d31ee,8c8dc550-93e5-4ed0-b7de-35848833931a,82,3,archer,arrow,1.0,74.036666666666,73.036666666666
01db1f45-4910-4edc-a35a-c86138b0d118,d4278cff-e28c-4a9e-bfb9-0f0b9f7256e8,51,1,enemy,contact,1.0,67.39,66.39
01dcde1e-68ac-49d1-b8cd-d79d3c1ebd4d,8d3951ff-68f5-4229-abc8-b0e014ccf3e4,266,5,king,arrow,1.0,104.765811716666,103.765811716666
01de48ee-9289-4a6b-8873-64b8478c7a00,634e38f9-b18e-4f50-9032-7a9cd74c0cb3,148,5,king,arrow,1.0,150.0,149.0
01e0bfd5-637e-4872-a179-528f6bee4dfb,866ae6ff-f11a-48a5-80c4-82cc30f73382,398,5,king,arrow,1.0,58.6850000000026,57.6850000000026
01f577f6-b77d-4725-b445-7c4ecc1971e0,d4278cff-e28c-4a9e-bfb9-0f0b9f7256e8,242,5,king,arrow,1.0,33.9149999999897,32.9149999999897
01f5b791-ee64-4461-a9c7-a4c62a063b39,eb6ae233-5b63-4bfa-b563-5d9dab5e9da8,312,5,archer,arrow,1.0,128.908193866661,127.908193866661
01ff8902-f317-4ddf-8397-bf2e37842843,51e201a5-8671-4003-b7bf-2453a27f8181,441,5,knight_attacker,contact,1.0,90.262214744445,89.262214744445
0200d0cf-8f17-4f51-938d-10d39e2ac745,e5f697dc-6c6a-44a9-b2d4-33a751744ed0,265,5,king,arrow,1.0,149.72,148.72
0210dc43-5350-40db-879f-9a3287ead3e2,06c446fe-5a73-4930-97bd-9c7179f97dad,177,5,king,arrow,1.0,99.5772123555555,98.5772123555555
0213eb5c-f33b-426b-811c-99f0e6ee3bb2,9587088e-2b70-400c-959b-ed89dcdcc02a,111,5,king,contact,1.0,108.0,107.0
02164b71-d85e-4125-bb35-87e37ff0fd00,6f7225e5-b6d0-4c5c-aa6a-bbe232c5997d,341,5,knight_attacker,contact,1.0,47.9558056732344,46.9558056732344
0216eaa2-e347-4e40-b34f-c48d16cf45c6,3df9d1c6-fd5e-4041-ba8b-7a31b3d49eb4,186,5,knight_attacker,contact,1.0,63.2041666666502,62.2041666666502
0220c75d-1ba2-4260-bd26-54965d60bc9e,8d3951ff-68f5-4229-abc8-b0e014ccf3e4,71,3,archer,arrow,1.0,91.0,90.0
0222ad84-41b9-441c-aa21-3c22f42e0c63,b7927167-a7db-4e53-8ca9-c44109513a9c,151,3,necromancer,following_projectile,1.0,77.6813402454403,76.6813402454403
0226136e-dab7-4b8b-bea4-8dd8fa3faa96,e8e70be3-66e8-4abd-8157-b58ad3ccc5e4,113,5,king,arrow,1.0,48.06,47.06
022ee5c7-d8a7-439d-bf8f-61810ee60bfc,bb33ae0e-0e76-43dc-8d46-8bc833341d89,144,3,archer,arrow,1.0,48.4704031666666,47.4704031666666
02316f7a-b79e-4cdf-91b7-1275da344e18,4eefb700-f3e5-46fc-b13e-88efb939c15b,95,3,archer,arrow,1.0,49.5999999999999,48.5999999999999
0239f050-d81d-43b1-8d73-7ac2f03a683c,b7c48a10-1c42-43c1-bc58-ece266868745,322,5,knight_attacker,contact,1.0,225.0,224.0
0239f966-3910-4865-8eab-6c74cce85afe,6d6c8b0a-7f32-4120-864f-1757d438c8a5,110,3,archer,arrow,1.0,6.83999999999997,5.83999999999997
023ab56e-9c05-401f-b006-a8a18bfb4407,b7c48a10-1c42-43c1-bc58-ece266868745,337,5,king,arrow,1.0,225.0,224.0
023e11d0-dc15-448c-a188-864f52c093eb,bb33ae0e-0e76-43dc-8d46-8bc833341d89,350,5,necromancer,following_projectile,1.0,50.0,49.0
